region,site_id,lat,lon,veg_cover_pct,ndvi,grass_biomass_kg_ha,bush_biomass_kg_ha,bush_encroachment,livestock_density_ha_lsu,carrying_capacity_ha_lsu,grazing_pressure,tenure
Hardap,SITE_0000,-17.347965726359785,19.734025108696628,45.60416667423469,0.28599564649738834,904.1512126319718,1150.2290960134117,Severe,21.197759500850147,18.12585302786367,Normal,commercial
Khomas,SITE_0001,-19.149597121555512,11.76318447248145,44.48341547791729,0.4512893274424208,651.6345933665012,718.2877975138967,Moderate,27.463338167018332,29.832808574150576,High,commercial
Oshikoto,SITE_0002,-17.474998937800635,14.093941318854714,19.988617004897165,0.40868280068422247,885.5573415023073,2298.6536358068515,Moderate,41.028800683079496,19.53531651566746,Normal,commercial
Erongo,SITE_0003,-24.821027732263108,11.154556684308677,12.876884042006175,0.6343565689583881,427.7629104659739,4135.758997170597,Moderate,9.499259864503363,28.85951536763646,High,commercial
Ohangwena,SITE_0004,-25.242935754610514,18.562934011601783,64.82069681811342,0.2899494699196067,1937.8653946340305,1983.8496006958271,Moderate,29.694790408704524,38.68106917024515,High,conservancy
Karas,SITE_0005,-22.142598708392008,18.5865036826717,66.01186808651089,0.6657119499892593,501.6403971736084,3209.683729414203,Low,47.41617753438993,22.576954744442542,Normal,conservancy
Hardap,SITE_0006,-22.939179378229568,19.223468518603248,71.92671252131873,0.3395120453107362,510.455451156589,1397.1350535778827,Moderate,41.314882213009064,16.572901711483887,Normal,commercial
Karas,SITE_0007,-18.190212277539132,18.350403737219246,19.23615344623213,0.21440102761424268,1289.6412406468098,4304.630202073383,Severe,5.0933735633274315,27.575850932751447,High,commercial
Omaheke,SITE_0008,-25.480052039338315,16.68710247588134,64.25621462591508,0.5046593962073599,1811.6858023795792,3546.0798241462076,Severe,29.62227948028238,17.09076967704568,Normal,communal
Omusati,SITE_0009,-20.45417877492465,11.465540012448196,73.61562103977184,0.22211165644953068,739.0874507705096,2760.211389572783,Low,26.90860084763237,41.65923642569397,High,commercial
Erongo,SITE_0010,-26.481898736609967,16.1090113017681,14.15839469323149,0.1744593935135963,584.8917120739061,1425.5276659071787,Moderate,30.219259733599227,37.76954661778984,High,conservancy
Karas,SITE_0011,-21.434336894650748,14.392490596548063,70.55188764171398,0.24774372731039565,373.0604670739058,4122.1920462311855,High,48.44900313746294,13.650866071095932,Normal,communal
Kunene,SITE_0012,-27.60858835073605,15.007267334961046,10.900234964793743,0.12519457914433949,231.77556340574154,3464.7818602761113,High,34.52316167886471,32.069301262319925,Normal,conservancy
Oshikoto,SITE_0013,-20.416749592539407,15.63468221045109,11.325692697384476,0.19205506866097705,852.6230478985293,837.2408957495782,Moderate,37.74036763279851,15.685791254774667,Normal,commercial
Erongo,SITE_0014,-27.372322130022145,11.706650264122029,30.019840213087505,0.6682101655280642,1219.0095411255768,4893.6437844061265,Moderate,7.578983284092816,17.734588017921965,High,commercial
Omusati,SITE_0015,-24.940716511084176,20.608659499405956,54.65006407145061,0.39063404530541723,1424.5223298182648,1147.6936698583293,Moderate,28.369780476731407,19.159058879731724,Normal,conservancy
Oshikoto,SITE_0016,-24.534663303536007,13.841233611159405,73.97424373362874,0.2830966357171566,320.7929847875718,2421.562271054408,Low,17.538996839037033,33.57572545033061,High,communal
Karas,SITE_0017,-25.431074286739182,18.15816821931395,75.79159700887519,0.10964775050561444,700.8940959751868,1008.7251472747953,High,43.32805486955523,25.78560769025504,Normal,commercial
Erongo,SITE_0018,-25.35433613746882,17.882496564499746,16.385264251447982,0.34787513552408067,1643.7106173464242,1136.0144988283637,Severe,32.624110695322194,43.63561609337064,High,commercial
Zambezi,SITE_0019,-22.37493537476199,17.722858034927427,63.70060672328799,0.6059025151928922,863.137731271153,2670.1253754657164,High,8.34778534785638,24.756244505287675,High,conservancy
Omaheke,SITE_0020,-18.43735275255377,11.683074021339769,36.36463283444275,0.6415966532892916,422.45110620896503,1810.8766139944532,Severe,35.28426599886181,24.240587859157735,Normal,commercial
Omusati,SITE_0021,-19.305193671755156,16.13758563987544,28.885711268635582,0.3298297678191516,314.76631747278475,941.1934132325068,Severe,9.057069553559296,12.722105318823573,High,commercial
Omaheke,SITE_0022,-21.298943187828513,18.570453063680382,32.25926314067664,0.32731586012156944,1068.8149857230064,1865.211040220777,Moderate,49.8908620730665,41.100229186119215,Normal,conservancy
Kavango West,SITE_0023,-19.29515396687117,11.464379090339452,62.45902508455331,0.5362242813999109,1474.2873609283365,1369.2995705006444,Low,20.970224616903216,26.948769953027647,High,conservancy
Omusati,SITE_0024,-24.479060680354696,20.65390565127307,13.810898031208621,0.6620294611266715,1962.5459904232866,2817.9571815353966,Low,19.123921238618628,31.17191788601157,High,commercial
Erongo,SITE_0025,-22.458112599606153,20.877808592836885,24.090162805752392,0.618610808025145,321.82748579858503,1482.0895359186143,Moderate,12.184530613604931,25.595817112733684,High,conservancy
Oshana,SITE_0026,-19.83213394167944,17.970497587131394,21.07434224435442,0.6656537996313642,252.40338705642645,4625.260174341802,Moderate,35.7420667153918,27.700383238709875,Normal,communal
Erongo,SITE_0027,-19.87373942172001,15.971874164240324,21.48985377190677,0.10078781200940408,472.89180677900123,3207.257892069346,High,41.57702302113161,12.072834776727307,Normal,communal
Omaheke,SITE_0028,-21.570938394292384,12.591594710117905,57.66067552521478,0.15518580105955332,1283.6757034391633,4843.917588769568,Moderate,8.135302078166866,44.5197346015081,High,communal
Kavango West,SITE_0029,-17.33401849042002,20.685913823239247,43.539062587462254,0.43224192138751616,199.72165961196856,4332.577588910528,Severe,32.649298778268104,15.318930034165383,Normal,communal
